candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
361,Abraham Tirkey,https://www.myneta.info/Assam2026/candidate.php?candidate_id=361,SADIYA,IND,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=361&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=361&col=lia
583,Abu Nosor Md Ilias,https://www.myneta.info/Assam2026/candidate.php?candidate_id=583,KARIMGANJ SOUTH,IND,0,8th Pass,"Rs 6,04,572 ~ 6 Lacs+",Rs 0 ~
664,Abu Sha Shadi Hossain,https://www.myneta.info/Assam2026/candidate.php?candidate_id=664,JALESWAR,Asom Gana Parishad,0,Graduate,"Rs 18,94,902 ~ 18 Lacs+",Rs 0 ~
74,Abu Taher Bepari,https://www.myneta.info/Assam2026/candidate.php?candidate_id=74,PARBATJHORA,All India United Democratic Front,0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=74&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=74&col=lia
526,Abul Kalam Hussain,https://www.myneta.info/Assam2026/candidate.php?candidate_id=526,GOALPARA EAST,IND,0,12th Pass,"Rs 1,58,59,882 ~ 1 Crore+","Rs 48,45,981 ~ 48 Lacs+"
524,Abul Kalam Rasheed Alam,https://www.myneta.info/Assam2026/candidate.php?candidate_id=524,GOALPARA EAST,INC,0,Graduate,"Rs 5,85,01,458 ~ 5 Crore+","Rs 1,22,66,765 ~ 1 Crore+"
556,Abul Khair Zakaria,https://www.myneta.info/Assam2026/candidate.php?candidate_id=556,KARIMGANJ NORTH,IND,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=556&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=556&col=lia
177,Abul Majan,https://www.myneta.info/Assam2026/candidate.php?candidate_id=177,BARCHALLA,Jharkhand Mukti Morcha,0,5th Pass,"Rs 1,81,58,147 ~ 1 Crore+",Rs 0 ~
140,Abul Miah,https://www.myneta.info/Assam2026/candidate.php?candidate_id=140,GAURIPUR,Raijor Dal,0,Graduate,"Rs 2,34,17,790 ~ 2 Crore+","Rs 60,99,679 ~ 60 Lacs+"
754,Achyut Das,https://www.myneta.info/Assam2026/candidate.php?candidate_id=754,NOWBOICHA (SC),AAP,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=754&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=754&col=lia
548,Achyut Kalita,https://www.myneta.info/Assam2026/candidate.php?candidate_id=548,GUWAHATI CENTRAL,IND,0,Graduate,"Rs 16,52,316 ~ 16 Lacs+","Rs 47,31,549 ~ 47 Lacs+"
415,Aditya Gogoi,https://www.myneta.info/Assam2026/candidate.php?candidate_id=415,NEW GUWAHATI,AAP,0,12th Pass,"Rs 76,00,000 ~ 76 Lacs+",Rs 0 ~
665,Aftab Uddin Mollah,https://www.myneta.info/Assam2026/candidate.php?candidate_id=665,JALESWAR,INC,1,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=665&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=665&col=lia
699,Aftadur Ali Khan,https://www.myneta.info/Assam2026/candidate.php?candidate_id=699,CHENGA,IND,0,12th Pass,"Rs 1,87,94,586 ~ 1 Crore+",Rs 0 ~
119,Afzal Hossain,https://www.myneta.info/Assam2026/candidate.php?candidate_id=119,GAURIPUR,IND,0,12th Pass,"Rs 71,49,942 ~ 71 Lacs+","Rs 1,92,000 ~ 1 Lacs+"
560,Ahad Uddin,https://www.myneta.info/Assam2026/candidate.php?candidate_id=560,KARIMGANJ NORTH,Apni Janta Party,0,8th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=560&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=560&col=lia
37,Ajanta Neog,https://www.myneta.info/Assam2026/candidate.php?candidate_id=37,GOLAGHAT,BJP,0,Post Graduate,"Rs 3,55,40,189 ~ 3 Crore+",Rs 0 ~
392,Ajgar Ali Mondal,https://www.myneta.info/Assam2026/candidate.php?candidate_id=392,PARBATJHORA,The National Road Map Party of India,0,8th Pass,"Rs 1,26,29,503 ~ 1 Crore+",Rs 0 ~
60,Ajit Acharjya,https://www.myneta.info/Assam2026/candidate.php?candidate_id=60,MANGALDAI,SUCI(C),0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=60&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=60&col=lia
502,Ajit Nunia,https://www.myneta.info/Assam2026/candidate.php?candidate_id=502,HAILAKANDI,IND,0,Graduate,"Rs 2,000 ~ 2 Thou+",Rs 0 ~
205,Ajit Singh,https://www.myneta.info/Assam2026/candidate.php?candidate_id=205,UDHARBOND,INC,0,Graduate,"Rs 6,47,43,156 ~ 6 Crore+","Rs 64,39,130 ~ 64 Lacs+"
705,Ajoy Bora,https://www.myneta.info/Assam2026/candidate.php?candidate_id=705,DEMOW,CPI,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=705&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=705&col=lia
706,Ajoy Kumar Gogoi,https://www.myneta.info/Assam2026/candidate.php?candidate_id=706,DEMOW,INC,0,Post Graduate,"Rs 7,57,94,883 ~ 7 Crore+","Rs 1,44,66,444 ~ 1 Crore+"
187,Ajoy Kumar Singha,https://www.myneta.info/Assam2026/candidate.php?candidate_id=187,BEHALI (SC),IND,0,Graduate,"Rs 3,22,44,899 ~ 3 Crore+","Rs 6,04,704 ~ 6 Lacs+"
237,Akbar Ali Mondal,https://www.myneta.info/Assam2026/candidate.php?candidate_id=237,BIRSING-JARUA,The National Road Map Party of India,1,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=237&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=237&col=lia
89,Akhil Gogoi,https://www.myneta.info/Assam2026/candidate.php?candidate_id=89,SIBSAGAR,Raijor Dal,21,Graduate,"Rs 1,12,74,654 ~ 1 Crore+","Rs 5,54,896 ~ 5 Lacs+"
364,Akibur Rahman,https://www.myneta.info/Assam2026/candidate.php?candidate_id=364,RUPAHIHAT,IND,0,Graduate,"Rs 1,12,565 ~ 1 Lacs+","Rs 86,480 ~ 86 Thou+"
597,Alam Hussain Laskar,https://www.myneta.info/Assam2026/candidate.php?candidate_id=597,SONAI,IND,0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=597&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=597&col=lia
136,Ali Akbar Miah,https://www.myneta.info/Assam2026/candidate.php?candidate_id=136,BIRSING-JARUA,All India United Democratic Front,0,Graduate,"Rs 4,59,59,633 ~ 4 Crore+","Rs 42,00,000 ~ 42 Lacs+"
208,Alok Nath,https://www.myneta.info/Assam2026/candidate.php?candidate_id=208,TEZPUR,Raijor Dal,0,Graduate,"Rs 1,76,54,663 ~ 1 Crore+",Rs 0 ~
257,Amalendu Das,https://www.myneta.info/Assam2026/candidate.php?candidate_id=257,BORKHOLA,IND,0,Others,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=257&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=257&col=lia
590,Amar Chand Jain,https://www.myneta.info/Assam2026/candidate.php?candidate_id=590,KATIGORAH,INC,0,10th Pass,"Rs 1,76,97,629 ~ 1 Crore+","Rs 89,84,066 ~ 89 Lacs+"
604,Aminul Haque Laskar,https://www.myneta.info/Assam2026/candidate.php?candidate_id=604,SONAI,INC,2,Graduate,"Rs 30,75,66,971 ~ 30 Crore+","Rs 6,45,91,885 ~ 6 Crore+"
368,Aminul Islam,https://www.myneta.info/Assam2026/candidate.php?candidate_id=368,RUPAHIHAT,All India United Democratic Front,5,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=368&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=368&col=lia
139,Aminur Rashid Choudhury,https://www.myneta.info/Assam2026/candidate.php?candidate_id=139,KARIMGANJ SOUTH,INC,1,10th Pass,"Rs 10,13,04,012 ~ 10 Crore+","Rs 3,00,50,000 ~ 3 Crore+"
682,Amirul Islam,https://www.myneta.info/Assam2026/candidate.php?candidate_id=682,BARKHETRI,AITC,0,Graduate Professional,"Rs 41,47,000 ~ 41 Lacs+","Rs 3,50,000 ~ 3 Lacs+"
261,Amit Kumar Kalwar,https://www.myneta.info/Assam2026/candidate.php?candidate_id=261,BORKHOLA,INC,0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=261&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=261&col=lia
740,Amit Nag,https://www.myneta.info/Assam2026/candidate.php?candidate_id=740,KHUMTAI,Jharkhand Mukti Morcha,2,Graduate,"Rs 6,10,337 ~ 6 Lacs+",Rs 0 ~
292,Amiya Kanti Das,https://www.myneta.info/Assam2026/candidate.php?candidate_id=292,DHOLAI (SC),BJP,0,Post Graduate,"Rs 69,16,580 ~ 69 Lacs+","Rs 1,58,442 ~ 1 Lacs+"
424,Amlesh Medhi,https://www.myneta.info/Assam2026/candidate.php?candidate_id=424,MORIGAON,IND,1,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=424&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=424&col=lia
231,Amrit Badsha,https://www.myneta.info/Assam2026/candidate.php?candidate_id=231,BILASIPARA,INC,0,10th Pass,"Rs 1,44,61,952 ~ 1 Crore+",Rs 0 ~
268,Ananda Narah,https://www.myneta.info/Assam2026/candidate.php?candidate_id=268,DHAKUAKHANA (ST),INC,0,Graduate,"Rs 26,27,276 ~ 26 Lacs+","Rs 4,92,660 ~ 4 Lacs+"
242,Ananta Gogoi,https://www.myneta.info/Assam2026/candidate.php?candidate_id=242,BISWANATH,AAP,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=242&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=242&col=lia
369,Anarul Hoque,https://www.myneta.info/Assam2026/candidate.php?candidate_id=369,RUPAHIHAT,IND,0,5th Pass,"Rs 1,99,05,957 ~ 1 Crore+","Rs 1,27,26,824 ~ 1 Crore+"
194,Anchula Gwra Daimary,https://www.myneta.info/Assam2026/candidate.php?candidate_id=194,BHERGAON,INC,0,Others,"Rs 43,97,302 ~ 43 Lacs+",Rs 0 ~
118,Anil Saikia,https://www.myneta.info/Assam2026/candidate.php?candidate_id=118,SAMAGURI,BJP,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=118&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=118&col=lia
533,Animul Hoque Choudhury,https://www.myneta.info/Assam2026/candidate.php?candidate_id=533,GOALPARA EAST,IND,0,12th Pass,"Rs 71,80,703 ~ 71 Lacs+","Rs 2,30,563 ~ 2 Lacs+"
40,Aninda Basumatary,https://www.myneta.info/Assam2026/candidate.php?candidate_id=40,GOSSAIGAON,United Peoples Party Liberal,0,Graduate,"Rs 2,67,32,213 ~ 2 Crore+","Rs 39,22,258 ~ 39 Lacs+"
150,Anjan Kumar Chanda,https://www.myneta.info/Assam2026/candidate.php?candidate_id=150,SONAI,SUCI(C),1,10th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=150&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=150&col=lia
128,Anjan Talukdar,https://www.myneta.info/Assam2026/candidate.php?candidate_id=128,MANAS,Raijor Dal,0,10th Pass,"Rs 13,20,000 ~ 13 Lacs+",Rs 0 ~
48,Ankur Das,https://www.myneta.info/Assam2026/candidate.php?candidate_id=48,KAMALPUR,IND,0,Graduate,"Rs 52,24,912 ~ 52 Lacs+","Rs 27,43,918 ~ 27 Lacs+"
275,Ansuma Basumatary,https://www.myneta.info/Assam2026/candidate.php?candidate_id=275,DHEKIAJULI,IND,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=275&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=275&col=lia
387,Anup Kumar Das Talukdar,https://www.myneta.info/Assam2026/candidate.php?candidate_id=387,RAM KRISHNA NAGAR (SC),All India United Democratic Front,0,Doctorate,"Rs 2,76,71,667 ~ 2 Crore+",Rs 0 ~
551,Anurupa Dekaraja,https://www.myneta.info/Assam2026/candidate.php?candidate_id=551,GUWAHATI CENTRAL,AAP,1,Graduate,"Rs 1,00,44,213 ~ 1 Crore+","Rs 95,33,291 ~ 95 Lacs+"
663,Arif Akhtar Ahmed,https://www.myneta.info/Assam2026/candidate.php?candidate_id=663,JALESWAR,AITC,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=663&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=663&col=lia
543,Arun Baishya,https://www.myneta.info/Assam2026/candidate.php?candidate_id=543,GORESWAR,IND,0,Graduate,"Rs 35,47,000 ~ 35 Lacs+","Rs 8,76,546 ~ 8 Lacs+"
50,Arunangshu Bhattacharjee,https://www.myneta.info/Assam2026/candidate.php?candidate_id=50,KARIMGANJ NORTH,SUCI(C),0,Post Graduate,"Rs 22,54,903 ~ 22 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
228,Arup Kumar Dey,https://www.myneta.info/Assam2026/candidate.php?candidate_id=228,BIJNI,BJP,4,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=228&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=228&col=lia
572,Asad Uddin Ahmed,https://www.myneta.info/Assam2026/candidate.php?candidate_id=572,KARIMGANJ SOUTH,IND,0,12th Pass,"Rs 82,173 ~ 82 Thou+",Rs 0 ~
736,Ashis Hazarika,https://www.myneta.info/Assam2026/candidate.php?candidate_id=736,KHUMTAI,AAP,0,Graduate,"Rs 34,17,500 ~ 34 Lacs+","Rs 1,60,000 ~ 1 Lacs+"
428,Ashok Gayari,https://www.myneta.info/Assam2026/candidate.php?candidate_id=428,MAZBAT,Voters Party International,0,8th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=428&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=428&col=lia
668,Ashok Kumar Sarma,https://www.myneta.info/Assam2026/candidate.php?candidate_id=668,NALBARI,INC,0,12th Pass,"Rs 1,36,05,183 ~ 1 Crore+","Rs 27,57,231 ~ 27 Lacs+"
20,Ashok Singhal,https://www.myneta.info/Assam2026/candidate.php?candidate_id=20,DHEKIAJULI,BJP,0,Graduate,"Rs 34,67,64,045 ~ 34 Crore+","Rs 1,02,73,511 ~ 1 Crore+"
700,Ashraful Hussain,https://www.myneta.info/Assam2026/candidate.php?candidate_id=700,CHENGA,All India United Democratic Front,4,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=700&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=700&col=lia
132,Ashwini Ray Sarkar,https://www.myneta.info/Assam2026/candidate.php?candidate_id=132,GOLAKGANJ,BJP,0,Post Graduate,"Rs 10,65,41,699 ~ 10 Crore+","Rs 4,70,00,939 ~ 4 Crore+"
245,Atul Bora,https://www.myneta.info/Assam2026/candidate.php?candidate_id=245,BOKAKHAT,Asom Gana Parishad,1,Post Graduate,"Rs 6,87,99,900 ~ 6 Crore+","Rs 19,88,330 ~ 19 Lacs+"
374,Augustine Enghee,https://www.myneta.info/Assam2026/candidate.php?candidate_id=374,RONGKHANG (ST),INC,1,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=374&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=374&col=lia
549,Avijit Mazumdar,https://www.myneta.info/Assam2026/candidate.php?candidate_id=549,GUWAHATI CENTRAL,AITC,0,Graduate,"Rs 3,39,62,404 ~ 3 Crore+","Rs 24,00,000 ~ 24 Lacs+"
531,Ayub Ali Mollah,https://www.myneta.info/Assam2026/candidate.php?candidate_id=531,GOALPARA EAST,IND,0,10th Pass,"Rs 1,55,30,000 ~ 1 Crore+",Rs 0 ~
75,Ayub Hussain Mondal,https://www.myneta.info/Assam2026/candidate.php?candidate_id=75,PARBATJHORA,United Peoples Party Liberal,0,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=75&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=75&col=lia
84,Ayub Khan,https://www.myneta.info/Assam2026/candidate.php?candidate_id=84,SAMAGURI,IND,0,Graduate,"Rs 23,36,000 ~ 23 Lacs+","Rs 28,00,000 ~ 28 Lacs+"
30,Ayush Kumar Singh,https://www.myneta.info/Assam2026/candidate.php?candidate_id=30,DISPUR,IND,0,Graduate Professional,"Rs 5,40,032 ~ 5 Lacs+",Rs 0 ~
580,Aziz Ahmed Khan,https://www.myneta.info/Assam2026/candidate.php?candidate_id=580,KARIMGANJ SOUTH,AITC,0,8th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=580&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=580&col=lia
619,Azizur Rahman,https://www.myneta.info/Assam2026/candidate.php?candidate_id=619,DALGAON,Raijor Dal,0,Post Graduate,"Rs 1,21,68,497 ~ 1 Crore+","Rs 70,28,960 ~ 70 Lacs+"
444,Azizur Rahman,https://www.myneta.info/Assam2026/candidate.php?candidate_id=444,MANGALDAI,All India United Democratic Front,0,Graduate,"Rs 2,64,34,251 ~ 2 Crore+","Rs 40,78,000 ~ 40 Lacs+"
271,Babul Sonowal,https://www.myneta.info/Assam2026/candidate.php?candidate_id=271,DHEMAJI (ST),IND,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=271&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=271&col=lia
175,Baburam Basumatary,https://www.myneta.info/Assam2026/candidate.php?candidate_id=175,BARCHALLA,United Peoples Party Liberal,0,10th Pass,"Rs 2,50,057 ~ 2 Lacs+",Rs 0 ~
296,Baby Begum,https://www.myneta.info/Assam2026/candidate.php?candidate_id=296,DHUBRI,INC,0,12th Pass,"Rs 1,26,33,001 ~ 1 Crore+","Rs 15,99,579 ~ 15 Lacs+"
450,Badal Chandra Arjya,https://www.myneta.info/Assam2026/candidate.php?candidate_id=450,MANDIA,BJP,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=450&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=450&col=lia
212,Badan Chandra Swargiary,https://www.myneta.info/Assam2026/candidate.php?candidate_id=212,TAMULPUR (ST),IND,0,Graduate,"Rs 69,45,000 ~ 69 Lacs+",Rs 0 ~
569,Baharul Islam,https://www.myneta.info/Assam2026/candidate.php?candidate_id=569,KARIMGANJ SOUTH,IND,0,Graduate,"Rs 12,15,000 ~ 12 Lacs+",Rs 0 ~
765,Baldev Teli,https://www.myneta.info/Assam2026/candidate.php?candidate_id=765,SONARI,Jharkhand Mukti Morcha,3,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=765&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=765&col=lia
309,Ballav Patra,https://www.myneta.info/Assam2026/candidate.php?candidate_id=309,DISPUR,AAP,0,12th Pass,"Rs 1,26,50,000 ~ 1 Crore+",Rs 0 ~
425,Bani Kanta Das,https://www.myneta.info/Assam2026/candidate.php?candidate_id=425,MORIGAON,Assam Jatiya Parishad,0,Post Graduate,"Rs 4,02,84,057 ~ 4 Crore+","Rs 18,58,145 ~ 18 Lacs+"
349,Banima Brahma,https://www.myneta.info/Assam2026/candidate.php?candidate_id=349,SIDLI CHIRANG (ST),Voters Party International,0,10th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=349&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=349&col=lia
39,Bapuram Boro,https://www.myneta.info/Assam2026/candidate.php?candidate_id=39,GORESWAR,CPI(M),0,Post Graduate,"Rs 1,54,28,312 ~ 1 Crore+",Rs 0 ~
68,Barnali Sarma,https://www.myneta.info/Assam2026/candidate.php?candidate_id=68,NAGAON-BATADRABA,SUCI(C),0,Post Graduate,"Rs 71,60,000 ~ 71 Lacs+",Rs 0 ~
388,Barun Bikash Das,https://www.myneta.info/Assam2026/candidate.php?candidate_id=388,RAHA (SC),AAP,0,Others,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=388&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=388&col=lia
753,Basanta Das,https://www.myneta.info/Assam2026/candidate.php?candidate_id=753,NOWBOICHA (SC),Asom Gana Parishad,0,Others,"Rs 46,27,303 ~ 46 Lacs+",Rs 0 ~
276,Batash Orang,https://www.myneta.info/Assam2026/candidate.php?candidate_id=276,DHEKIAJULI,INC,0,12th Pass,"Rs 47,46,305 ~ 47 Lacs+","Rs 2,33,809 ~ 2 Lacs+"
355,Bhabendra Nath Mohan,https://www.myneta.info/Assam2026/candidate.php?candidate_id=355,SIBSAGAR,IND,0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=355&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=355&col=lia
81,Bhabesh Kalita,https://www.myneta.info/Assam2026/candidate.php?candidate_id=81,RANGIA,BJP,0,Graduate Professional,"Rs 2,29,77,131 ~ 2 Crore+","Rs 36,95,330 ~ 36 Lacs+"
93,Bhabotosh Chakraborty,https://www.myneta.info/Assam2026/candidate.php?candidate_id=93,SILCHAR,SUCI(C),0,10th Pass,"Rs 20,018 ~ 20 Thou+",Rs 0 ~
772,Bhadreswar Barman,https://www.myneta.info/Assam2026/candidate.php?candidate_id=772,SRIJANGRAM,IND,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=772&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=772&col=lia
789,Bhairaw Bhagat,https://www.myneta.info/Assam2026/candidate.php?candidate_id=789,TINSUKIA,IND,0,8th Pass,"Rs 51,52,000 ~ 51 Lacs+",Rs 0 ~
111,Bhaity Richong,https://www.myneta.info/Assam2026/candidate.php?candidate_id=111,MAJULI (ST),SUCI(C),0,Others,"Rs 1,08,562 ~ 1 Lacs+",Rs 0 ~
711,Bharat Nayak,https://www.myneta.info/Assam2026/candidate.php?candidate_id=711,DIGBOI,Jharkhand Mukti Morcha,0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=711&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=711&col=lia
798,Bhaskar Jyoti Baruah,https://www.myneta.info/Assam2026/candidate.php?candidate_id=798,TITABOR,IND,0,Graduate,"Rs 17,55,30,687 ~ 17 Crore+","Rs 3,60,14,193 ~ 3 Crore+"
300,Bhaskar Jyoti Pathak,https://www.myneta.info/Assam2026/candidate.php?candidate_id=300,DIMORIA (SC),IND,0,Post Graduate,"Rs 2,04,36,968 ~ 2 Crore+","Rs 31,55,110 ~ 31 Lacs+"
